|tweet_id|tweet_text|label|set
0|1256007275807997953|CHINA: libera una pandemia EE.UU: libera OVNIS ARGENTINA: libera presos  Jajajajajajaja|0|train
1|1257909427677601792|San Francisco (EEUU) hace 100 años tras vivir la pandemia de 1918. https://t.co/veOT7nkdi8|0|train
2|1281580572415066112|Porfi poneos la mascarilla o tendremos 28 nuevas canciones de artistas colaborando con Rozalén.|0|train
3|1271348112733470720|El nuevo „covid normas y reglas recibimiento“ en el comercio minorista español. Pateando desde @mkdirecto un día mas las calles y tiendas de Madrid para conocer y mostrar la nueva „consumo normalidad“: https://t.co/EPrZ9Ncb5m|0|train
4|1270421287148695556|Si el confinamiento ha dejado algo tocada tu estabilidad mental, siempre puedes consolarte pensando que Miguel Bosé ha quedado mucho peor.|0|train
5|1266846025576218626|Lo nunca visto, aqui en España, por lo q se ve nos resucitan los muertos.Cada vez veo menos. No lo digo con ironía, lo digo con muchisima indignación, lo matizo/ 27.125 fallecidos en España: el coronavirus, comunidad por comunidad  https://t.co/PBD6ktbWNv  Enviado desde @updayESP|0|train
6|1276842713858502663|#Coronavirus: un nuevo estudio descubre que tanto los pacientes con Covid-19 sintomáticos como los asintomáticos tienen la capacidad de contaminar sus alrededores. Es decir, todo lo que tocan https://t.co/FELV3KPLPH|0|train
7|1270064252234215424|Esto será vestigio arqueológico del pelotazo al día siguiente de que corten la cinta|0|train
8|1252741192577581056|Repartidores teniendo que trabajar en medio de una pandemia que nos tiene a todos encerrados y le meten 1.500€ de multa por aparcar en raya amarilla, hace falta ser cerdo de mierda, sin más.|1|train
9|1260266403409670144|@carlesenric @salvadorilla Es imprescindible desescalada, con criterios sanitarios, no politicos,con gestores como minimo con cv como en Italia,no se puede poner en riesgo a la poblacion, buscando apoyos politicos..sres estamos ante una pandemia|1|train
10|1276100229226541059|La recuperación del empleo previa a la COVID-19 no frenó el incremento de la pobreza severa entre la población en exclusión grave. La crisis y su empuje del desempleo, seguirá hundiendo a muchas familias en la pobreza severa.  #ElPoderDeCadaPersona https://t.co/Yr9YeSOzZe|0|train
11|1282857029455970309|Coronavirus en Yucatán: 109 nuevos contagios y 16 fallecimientos  https://t.co/AwkspwLjlI https://t.co/3V69toRnhu|0|train
12|1255157229168340993|Un nuevo amanecer ¡Buenos días!  Un tulipan...  ~haiku~  #LYF15  #VAFlorDePiel  #YoMeQuedoEnCasa https://t.co/L8nbM4cN2Q|0|train
13|1286573183315906560|Las razones por las que Madrid no impone el uso obligatorio de mascarilla https://t.co/wCTekphfdV|0|train
14|1260244131164622849|lo mismo sus anticuerpos españoles no son tan españoles|0|train
15|1280061604080607233|TVE  Exhumación de Franco:  -22 cámaras -3 unidades móviles -50 personas -Retransmisión en directo  Funeral de 45.000 españoles muertos por coronavirus:  -CERO despliegue -NO retransmisión  El Gobierno quiere que recuerdes que desenterró a un muerto, pero no que enterró a 45.000.|0|train
16|1265194535598112768|a lxs fexs nos viene bien eso de que sea obligatorio llevar mascarilla|0|train
17|1256473507157999616|El mismo esfuerzo que heces tu , que ni  te abres la puerta de tu coche oficial y cobras tu sueldo  integro no como los millones de españoles afectados por los ERTE o de los autónomos que págamos sin cobrar, ni eres ni fuiste nunca clase trabajadora|1|train
18|1251254299029618690|Contexto:  - Comisaría con cajas de mascarillas en puerta  - Viene político y prensa para la grabación del evento  - En la primera toma se dan cuenta que no lleva mascarilla  - Repiten toma  - Se introducen cajas en vehículo y se marchan  👉¿En manos de quiénes estamos? https://t.co/OcF8xZPpoS|1|train
19|1260647157549264896|Que la directora del Centro Nacional de Epidemiología diga “desde el 1 de febrero, es decir, desde que tenemos la epidemia en nuestro país” ¿lo tomamos como fake? ¿lapsus? ¿sologripismo? Es que me acabo liando. https://t.co/ewd2Czc34q|1|train
20|1242704294467559430|@Awuamba No digo que sea fácil, pero no sería nada nuevo para nosotros, yo, personalmente, creo que el confinamiento no lo llevaría tan mal como veo que lo está llevando la gente. Yo también hablo sobre lo que yo conozco y mi experiencia, habrá quien esté de acuerdo y quien no.|0|train
21|1250507352350117888|@danigandara4 también nos envía su mensaje #YoMeQuedoEnCasa https://t.co/bKJxuwqmmr|0|train
22|1284809129471676416|Varios millones de euros gastados en publicidad para promocionar el turismo Interior y pillan a Fernando simón en Portugal sin mascarilla y sin distancia Social .  Las normas y los hospitales públicos son para el populacho. #dandoejemplo https://t.co/7UDnoWoEW7|0|train
